experiment_id,cycle_id,meas_id,move_status,position_status,captured_at_utc,position_t,x,y,z,position,rotation_matrix_json,error
EXP009,1,1,ok,ok,2026-04-02T16:52:57.144572+00:00,18:52:53,3.69408642578125,2.52633935546875,0.7462012939453125,"[3.69408642578125,2.52633935546875,0.7462012939453125]",null,
EXP009,2,2,ok,ok,2026-04-02T16:53:37.965556+00:00,18:53:34,4.3088642578125,1.9039422607421874,0.7492421875,"[4.3088642578125,1.9039422607421874,0.7492421875]",null,
EXP009,3,3,ok,ok,2026-04-02T16:54:11.079268+00:00,18:54:07,4.305197265625,2.024575439453125,0.7490709838867188,"[4.305197265625,2.024575439453125,0.7490709838867188]",null,
EXP009,4,4,ok,ok,2026-04-02T16:54:43.985270+00:00,18:54:40,4.3069638671875,2.145667724609375,0.749171875,"[4.3069638671875,2.145667724609375,0.749171875]",null,
EXP009,5,5,ok,ok,2026-04-02T16:55:16.987536+00:00,18:55:13,4.308939453125,2.265264404296875,0.74939892578125,"[4.308939453125,2.265264404296875,0.74939892578125]",null,
EXP009,6,6,ok,ok,2026-04-02T16:55:50.093128+00:00,18:55:46,4.31061669921875,2.38441552734375,0.7495455322265625,"[4.31061669921875,2.38441552734375,0.7495455322265625]",null,
EXP009,7,7,ok,ok,2026-04-02T16:56:22.968038+00:00,18:56:19,4.31198583984375,2.504874267578125,0.7496884765625,"[4.31198583984375,2.504874267578125,0.7496884765625]",null,
EXP009,8,8,ok,ok,2026-04-02T16:56:55.981453+00:00,18:56:52,4.31404931640625,2.624682861328125,0.7500166015625,"[4.31404931640625,2.624682861328125,0.7500166015625]",null,
EXP009,9,9,ok,ok,2026-04-02T16:57:28.982320+00:00,18:57:25,4.31595849609375,2.7443876953125,0.7503118896484375,"[4.31595849609375,2.7443876953125,0.7503118896484375]",null,
EXP009,10,10,ok,ok,2026-04-02T16:58:02.094000+00:00,18:57:58,4.31789794921875,2.86361962890625,0.7507578735351562,"[4.31789794921875,2.86361962890625,0.7507578735351562]",null,
