experiment_id,cycle_id,meas_id,move_status,position_status,captured_at_utc,position_t,x,y,z,position,rotation_matrix_json,error
EXP012,1,1,ok,ok,2026-04-03T14:30:24.798376+00:00,16:30:21,5.00766796875,2.966314697265625,0.756587158203125,"[5.00766796875,2.966314697265625,0.756587158203125]",null,
EXP012,2,2,ok,ok,2026-04-03T14:31:05.011855+00:00,16:31:01,5.61476171875,2.339167724609375,0.7565407104492188,"[5.61476171875,2.339167724609375,0.7565407104492188]",null,
EXP012,3,3,ok,ok,2026-04-03T14:31:37.979281+00:00,16:31:34,5.61285986328125,2.4604794921875,0.7571732177734375,"[5.61285986328125,2.4604794921875,0.7571732177734375]",null,
EXP012,4,4,ok,ok,2026-04-03T14:32:10.983476+00:00,16:32:07,5.61570361328125,2.580259521484375,0.7578903198242187,"[5.61570361328125,2.580259521484375,0.7578903198242187]",null,
EXP012,5,5,ok,ok,2026-04-03T14:32:43.981538+00:00,16:32:40,5.61835498046875,2.700005859375,0.7587007446289062,"[5.61835498046875,2.700005859375,0.7587007446289062]",null,
EXP012,6,6,ok,ok,2026-04-03T14:33:16.982962+00:00,16:33:13,5.62069775390625,2.819922607421875,0.7593325805664063,"[5.62069775390625,2.819922607421875,0.7593325805664063]",null,
EXP012,7,7,ok,ok,2026-04-03T14:33:49.997211+00:00,16:33:46,5.623615234375,2.939961181640625,0.76017919921875,"[5.623615234375,2.939961181640625,0.76017919921875]",null,
EXP012,8,8,ok,ok,2026-04-03T14:34:23.097372+00:00,16:34:19,5.62655517578125,3.059200927734375,0.7612881469726562,"[5.62655517578125,3.059200927734375,0.7612881469726562]",null,
EXP012,9,9,ok,ok,2026-04-03T14:34:56.074075+00:00,16:34:52,5.6291640625,3.1793447265625,0.76206201171875,"[5.6291640625,3.1793447265625,0.76206201171875]",null,
EXP012,10,10,ok,ok,2026-04-03T14:35:28.982286+00:00,16:35:25,5.6317177734375,3.299929931640625,0.7625550537109375,"[5.6317177734375,3.299929931640625,0.7625550537109375]",null,
EXP012,11,11,ok,ok,2026-04-03T14:36:02.094210+00:00,16:35:58,5.63469140625,3.41923828125,0.763438720703125,"[5.63469140625,3.41923828125,0.763438720703125]",null,
EXP012,12,12,ok,ok,2026-04-03T14:36:35.082216+00:00,16:36:31,5.63679833984375,3.5400771484375,0.7642344970703125,"[5.63679833984375,3.5400771484375,0.7642344970703125]",null,
EXP012,13,13,ok,ok,2026-04-03T14:37:06.932281+00:00,16:37:03,5.63786865234375,3.571413330078125,0.7646358642578125,"[5.63786865234375,3.571413330078125,0.7646358642578125]",null,
EXP012,14,14,ok,ok,2026-04-03T14:37:42.018787+00:00,16:37:38,5.5130537109375,3.572696533203125,0.7636873168945313,"[5.5130537109375,3.572696533203125,0.7636873168945313]",null,
EXP012,15,15,ok,ok,2026-04-03T14:38:14.950833+00:00,16:38:11,5.5167529296875,3.543864990234375,0.763564697265625,"[5.5167529296875,3.543864990234375,0.763564697265625]",null,
EXP012,16,16,ok,ok,2026-04-03T14:38:48.080970+00:00,16:38:44,5.51464208984375,3.422177734375,0.7629673461914063,"[5.51464208984375,3.422177734375,0.7629673461914063]",null,
EXP012,17,17,ok,ok,2026-04-03T14:39:20.979253+00:00,16:39:17,5.5116611328125,3.30137646484375,0.7617640991210938,"[5.5116611328125,3.30137646484375,0.7617640991210938]",null,
EXP012,18,18,ok,ok,2026-04-03T14:39:53.981201+00:00,16:39:50,5.50862451171875,3.1816630859375,0.7611981811523437,"[5.50862451171875,3.1816630859375,0.7611981811523437]",null,
EXP012,19,19,ok,ok,2026-04-03T14:40:32.096098+00:00,16:40:28,5.5060068359375,3.062147705078125,0.7604705200195313,"[5.5060068359375,3.062147705078125,0.7604705200195313]",null,
EXP012,20,20,ok,ok,2026-04-03T14:41:11.981137+00:00,16:41:08,5.50307568359375,2.9416474609375,0.7596336669921875,"[5.50307568359375,2.9416474609375,0.7596336669921875]",null,
EXP012,21,21,ok,ok,2026-04-03T14:41:52.982469+00:00,16:41:49,5.50049560546875,2.821721435546875,0.7587219848632812,"[5.50049560546875,2.821721435546875,0.7587219848632812]",null,
EXP012,22,22,ok,ok,2026-04-03T14:42:33.981651+00:00,16:42:30,5.49790185546875,2.701847900390625,0.7581103515625,"[5.49790185546875,2.701847900390625,0.7581103515625]",null,
EXP012,23,23,ok,ok,2026-04-03T14:43:14.092637+00:00,16:43:10,5.49556201171875,2.5826513671875,0.7571544799804687,"[5.49556201171875,2.5826513671875,0.7571544799804687]",null,
EXP012,24,24,ok,ok,2026-04-03T14:43:54.978503+00:00,16:43:51,5.49272705078125,2.4619326171875,0.7564771728515625,"[5.49272705078125,2.4619326171875,0.7564771728515625]",null,
EXP012,25,25,ok,ok,2026-04-03T14:44:35.981494+00:00,16:44:32,5.490984375,2.3420205078125,0.75570556640625,"[5.490984375,2.3420205078125,0.75570556640625]",null,
EXP012,26,26,ok,ok,2026-04-03T14:45:16.986496+00:00,16:45:13,5.36690966796875,2.344737060546875,0.754664306640625,"[5.36690966796875,2.344737060546875,0.754664306640625]",null,
EXP012,27,27,ok,ok,2026-04-03T14:45:50.978927+00:00,16:45:47,5.37360791015625,2.46515087890625,0.7558582153320312,"[5.37360791015625,2.46515087890625,0.7558582153320312]",null,
EXP012,28,28,ok,ok,2026-04-03T14:46:23.982657+00:00,16:46:20,5.37646875,2.58521728515625,0.7565481567382812,"[5.37646875,2.58521728515625,0.7565481567382812]",null,
EXP012,29,29,ok,ok,2026-04-03T14:46:56.981297+00:00,16:46:53,5.37885546875,2.704876708984375,0.757370361328125,"[5.37885546875,2.704876708984375,0.757370361328125]",null,
EXP012,30,30,ok,ok,2026-04-03T14:47:30.994799+00:00,16:47:27,5.3813408203125,2.82466455078125,0.7581061401367187,"[5.3813408203125,2.82466455078125,0.7581061401367187]",null,
EXP012,31,31,ok,ok,2026-04-03T14:48:03.983698+00:00,16:48:00,5.3836767578125,2.944529052734375,0.7590482177734375,"[5.3836767578125,2.944529052734375,0.7590482177734375]",null,
EXP012,32,32,ok,ok,2026-04-03T14:48:36.982005+00:00,16:48:33,5.38597509765625,3.06449072265625,0.7596152954101563,"[5.38597509765625,3.06449072265625,0.7596152954101563]",null,
EXP012,33,33,ok,ok,2026-04-03T14:49:09.980276+00:00,16:49:06,5.38901416015625,3.18443359375,0.7604429931640625,"[5.38901416015625,3.18443359375,0.7604429931640625]",null,
EXP012,34,34,ok,ok,2026-04-03T14:49:42.980244+00:00,16:49:39,5.3919560546875,3.30447021484375,0.7613056030273437,"[5.3919560546875,3.30447021484375,0.7613056030273437]",null,
EXP012,35,35,ok,ok,2026-04-03T14:50:15.984291+00:00,16:50:12,5.395013671875,3.424461669921875,0.7621796875,"[5.395013671875,3.424461669921875,0.7621796875]",null,
EXP012,36,36,ok,ok,2026-04-03T14:50:49.096179+00:00,16:50:45,5.3966005859375,3.54461279296875,0.763167724609375,"[5.3966005859375,3.54461279296875,0.763167724609375]",null,
EXP012,37,37,ok,ok,2026-04-03T14:51:20.940244+00:00,16:51:17,5.3979033203125,3.5759140625,0.7633424682617187,"[5.3979033203125,3.5759140625,0.7633424682617187]",null,
EXP012,38,38,ok,ok,2026-04-03T14:51:54.007067+00:00,16:51:50,5.27223486328125,3.577105224609375,0.7624332275390625,"[5.27223486328125,3.577105224609375,0.7624332275390625]",null,
EXP012,39,39,ok,ok,2026-04-03T14:52:25.934682+00:00,16:52:22,5.27627001953125,3.545697998046875,0.7624390869140625,"[5.27627001953125,3.545697998046875,0.7624390869140625]",null,
EXP012,40,40,ok,ok,2026-04-03T14:52:59.032648+00:00,16:52:55,5.27381884765625,3.426568603515625,0.7612958374023437,"[5.27381884765625,3.426568603515625,0.7612958374023437]",null,
EXP012,41,41,ok,ok,2026-04-03T14:53:32.023205+00:00,16:53:28,5.271177734375,3.30626513671875,0.7606558837890625,"[5.271177734375,3.30626513671875,0.7606558837890625]",null,
EXP012,42,42,ok,ok,2026-04-03T14:54:05.050698+00:00,16:54:01,5.26805859375,3.1869208984375,0.7596185913085938,"[5.26805859375,3.1869208984375,0.7596185913085938]",null,
EXP012,43,43,ok,ok,2026-04-03T14:54:38.047315+00:00,16:54:34,5.26549365234375,3.066322998046875,0.7588232421875,"[5.26549365234375,3.066322998046875,0.7588232421875]",null,
EXP012,44,44,ok,ok,2026-04-03T14:55:11.058825+00:00,16:55:07,5.26268701171875,2.947041015625,0.7580274047851563,"[5.26268701171875,2.947041015625,0.7580274047851563]",null,
EXP012,45,45,ok,ok,2026-04-03T14:55:44.013552+00:00,16:55:40,5.260181640625,2.82662060546875,0.7572760009765624,"[5.260181640625,2.82662060546875,0.7572760009765624]",null,
EXP012,46,46,ok,ok,2026-04-03T14:56:17.041793+00:00,16:56:13,5.25779296875,2.70684912109375,0.756494140625,"[5.25779296875,2.70684912109375,0.756494140625]",null,
EXP012,47,47,ok,ok,2026-04-03T14:56:50.052210+00:00,16:56:46,5.25544580078125,2.587604248046875,0.75582666015625,"[5.25544580078125,2.587604248046875,0.75582666015625]",null,
EXP012,48,48,ok,ok,2026-04-03T14:57:22.984124+00:00,16:57:19,5.253048828125,2.46614306640625,0.7552205200195312,"[5.253048828125,2.46614306640625,0.7552205200195312]",null,
EXP012,49,49,ok,ok,2026-04-03T14:57:56.081065+00:00,16:57:52,5.25066259765625,2.349615966796875,0.7543554077148438,"[5.25066259765625,2.349615966796875,0.7543554077148438]",null,
EXP012,50,50,ok,ok,2026-04-03T14:58:29.086195+00:00,16:58:25,5.13280224609375,2.349537353515625,0.7537525634765625,"[5.13280224609375,2.349537353515625,0.7537525634765625]",null,
EXP012,51,51,ok,ok,2026-04-03T14:59:01.965258+00:00,16:58:58,5.1325439453125,2.469782958984375,0.7543853149414063,"[5.1325439453125,2.469782958984375,0.7543853149414063]",null,
EXP012,52,52,ok,ok,2026-04-03T14:59:34.982443+00:00,16:59:31,5.135484375,2.589876220703125,0.7551358032226563,"[5.135484375,2.589876220703125,0.7551358032226563]",null,
EXP012,53,53,ok,ok,2026-04-03T15:00:08.063330+00:00,17:00:04,5.13804150390625,2.709223388671875,0.7557756958007813,"[5.13804150390625,2.709223388671875,0.7557756958007813]",null,
EXP012,54,54,ok,ok,2026-04-03T15:00:41.001203+00:00,17:00:37,5.14089697265625,2.82933251953125,0.7567340087890625,"[5.14089697265625,2.82933251953125,0.7567340087890625]",null,
EXP012,55,55,ok,ok,2026-04-03T15:01:14.029514+00:00,17:01:10,5.1432509765625,2.949376220703125,0.75734228515625,"[5.1432509765625,2.949376220703125,0.75734228515625]",null,
EXP012,56,56,ok,ok,2026-04-03T15:01:47.035701+00:00,17:01:43,5.14597900390625,3.069133544921875,0.758035400390625,"[5.14597900390625,3.069133544921875,0.758035400390625]",null,
EXP012,57,57,ok,ok,2026-04-03T15:02:20.032106+00:00,17:02:16,5.1487880859375,3.1891181640625,0.758902099609375,"[5.1487880859375,3.1891181640625,0.758902099609375]",null,
EXP012,58,58,ok,ok,2026-04-03T15:02:53.016510+00:00,17:02:49,5.15149072265625,3.309057861328125,0.75969775390625,"[5.15149072265625,3.309057861328125,0.75969775390625]",null,
EXP012,59,59,ok,ok,2026-04-03T15:03:26.030586+00:00,17:03:22,5.15463427734375,3.428947509765625,0.760899169921875,"[5.15463427734375,3.428947509765625,0.760899169921875]",null,
EXP012,60,60,ok,ok,2026-04-03T15:03:59.022484+00:00,17:03:55,5.1569619140625,3.549293212890625,0.761784423828125,"[5.1569619140625,3.549293212890625,0.761784423828125]",null,
EXP012,61,61,ok,ok,2026-04-03T15:04:30.952477+00:00,17:04:27,5.15753125,3.57775048828125,0.7620947875976563,"[5.15753125,3.57775048828125,0.7620947875976563]",null,
EXP012,62,62,ok,ok,2026-04-03T15:05:04.040769+00:00,17:05:00,5.0321904296875,3.58167431640625,0.760723876953125,"[5.0321904296875,3.58167431640625,0.760723876953125]",null,
EXP012,63,63,ok,ok,2026-04-03T15:05:35.920469+00:00,17:05:32,5.036380859375,3.550251708984375,0.7609791259765625,"[5.036380859375,3.550251708984375,0.7609791259765625]",null,
EXP012,64,64,ok,ok,2026-04-03T15:06:09.008803+00:00,17:06:05,5.0335205078125,3.431402099609375,0.7601360473632812,"[5.0335205078125,3.431402099609375,0.7601360473632812]",null,
EXP012,65,65,ok,ok,2026-04-03T15:06:42.025186+00:00,17:06:38,5.03052197265625,3.311083251953125,0.7591492919921875,"[5.03052197265625,3.311083251953125,0.7591492919921875]",null,
EXP012,66,66,ok,ok,2026-04-03T15:07:15.018993+00:00,17:07:11,5.027607421875,3.191439697265625,0.7580341186523437,"[5.027607421875,3.191439697265625,0.7580341186523437]",null,
EXP012,67,67,ok,ok,2026-04-03T15:07:48.042130+00:00,17:07:44,5.025189453125,3.071337646484375,0.7572666015625,"[5.025189453125,3.071337646484375,0.7572666015625]",null,
EXP012,68,68,ok,ok,2026-04-03T15:08:21.025321+00:00,17:08:17,5.022486328125,2.95178759765625,0.7565206909179687,"[5.022486328125,2.95178759765625,0.7565206909179687]",null,
EXP012,69,69,ok,ok,2026-04-03T15:08:54.022504+00:00,17:08:50,5.02046533203125,2.831752197265625,0.7557863159179687,"[5.02046533203125,2.831752197265625,0.7557863159179687]",null,
EXP012,70,70,ok,ok,2026-04-03T15:09:27.034330+00:00,17:09:23,5.0177236328125,2.711927490234375,0.754919677734375,"[5.0177236328125,2.711927490234375,0.754919677734375]",null,
EXP012,71,71,ok,ok,2026-04-03T15:10:00.058338+00:00,17:09:56,5.01516845703125,2.5927744140625,0.754388671875,"[5.01516845703125,2.5927744140625,0.754388671875]",null,
EXP012,72,72,ok,ok,2026-04-03T15:10:33.108014+00:00,17:10:29,5.01238818359375,2.472299560546875,0.753748046875,"[5.01238818359375,2.472299560546875,0.753748046875]",null,
EXP012,73,73,ok,ok,2026-04-03T15:11:05.979774+00:00,17:11:02,5.010255859375,2.352128662109375,0.75293115234375,"[5.010255859375,2.352128662109375,0.75293115234375]",null,
EXP012,74,74,ok,ok,2026-04-03T15:11:38.974192+00:00,17:11:35,4.88535791015625,2.354909423828125,0.7519990234375,"[4.88535791015625,2.354909423828125,0.7519990234375]",null,
EXP012,75,75,ok,ok,2026-04-03T15:12:11.982456+00:00,17:12:08,4.8927890625,2.475005859375,0.7529942626953126,"[4.8927890625,2.475005859375,0.7529942626953126]",null,
EXP012,76,76,ok,ok,2026-04-03T15:12:44.976434+00:00,17:12:41,4.89562646484375,2.59492138671875,0.753834228515625,"[4.89562646484375,2.59492138671875,0.753834228515625]",null,
EXP012,77,77,ok,ok,2026-04-03T15:13:18.074279+00:00,17:13:14,4.89823095703125,2.7144990234375,0.7543880004882813,"[4.89823095703125,2.7144990234375,0.7543880004882813]",null,
EXP012,78,78,ok,ok,2026-04-03T15:13:51.010099+00:00,17:13:47,4.901240234375,2.834585693359375,0.7551019287109375,"[4.901240234375,2.834585693359375,0.7551019287109375]",null,
EXP012,79,79,ok,ok,2026-04-03T15:14:24.022998+00:00,17:14:20,4.903509765625,2.95446484375,0.755795654296875,"[4.903509765625,2.95446484375,0.755795654296875]",null,
EXP012,80,80,ok,ok,2026-04-03T15:14:57.025067+00:00,17:14:53,4.90615283203125,3.074305908203125,0.7565635986328125,"[4.90615283203125,3.074305908203125,0.7565635986328125]",null,
EXP012,81,81,ok,ok,2026-04-03T15:15:30.034080+00:00,17:15:26,4.90886328125,3.1942041015625,0.7572888793945313,"[4.90886328125,3.1942041015625,0.7572888793945313]",null,
EXP012,82,82,ok,ok,2026-04-03T15:16:03.017958+00:00,17:15:59,4.91170947265625,3.314029052734375,0.7585028686523437,"[4.91170947265625,3.314029052734375,0.7585028686523437]",null,
EXP012,83,83,ok,ok,2026-04-03T15:16:36.042342+00:00,17:16:32,4.91436572265625,3.43407958984375,0.7592183837890625,"[4.91436572265625,3.43407958984375,0.7592183837890625]",null,
