experiment_id,cycle_id,meas_id,move_status,position_status,captured_at_utc,position_t,x,y,z,position,rotation_matrix_json,error
EXP007,1,1,ok,ok,2026-04-02T09:32:20.809603+00:00,11:32:17,3.633267822265625,2.0455433349609375,0.7450052490234375,"[3.633267822265625,2.0455433349609375,0.7450052490234375]",null,
EXP007,2,2,ok,ok,2026-04-02T09:33:00.007074+00:00,11:32:56,4.266087890625,1.4468277587890626,0.7491544189453125,"[4.266087890625,1.4468277587890626,0.7491544189453125]",null,
EXP007,3,3,ok,ok,2026-04-02T09:33:32.995294+00:00,11:33:29,4.25979833984375,1.5674681396484376,0.748960693359375,"[4.25979833984375,1.5674681396484376,0.748960693359375]",null,
EXP007,4,4,ok,ok,2026-04-02T09:34:05.990143+00:00,11:34:02,4.258189453125,1.68725732421875,0.7488700561523437,"[4.258189453125,1.68725732421875,0.7488700561523437]",null,
EXP007,5,5,ok,ok,2026-04-02T09:34:38.988930+00:00,11:34:35,4.25575927734375,1.807099609375,0.7486719970703125,"[4.25575927734375,1.807099609375,0.7486719970703125]",null,
EXP007,6,6,ok,ok,2026-04-02T09:35:12.095666+00:00,11:35:08,4.25385400390625,1.9260150146484376,0.7486458129882813,"[4.25385400390625,1.9260150146484376,0.7486458129882813]",null,
EXP007,7,7,ok,ok,2026-04-02T09:35:44.985766+00:00,11:35:41,4.25155517578125,2.0468658447265624,0.7485049438476562,"[4.25155517578125,2.0468658447265624,0.7485049438476562]",null,
EXP007,8,8,ok,ok,2026-04-02T09:36:17.986231+00:00,11:36:14,4.24972998046875,2.1664931640625,0.7486556396484375,"[4.24972998046875,2.1664931640625,0.7486556396484375]",null,
EXP007,9,9,ok,ok,2026-04-02T09:36:51.094540+00:00,11:36:47,4.2476875,2.28529248046875,0.7485374145507813,"[4.2476875,2.28529248046875,0.7485374145507813]",null,
EXP007,10,10,ok,ok,2026-04-02T09:37:23.986653+00:00,11:37:20,4.24602001953125,2.406201904296875,0.7486543579101562,"[4.24602001953125,2.406201904296875,0.7486543579101562]",null,
EXP007,11,11,ok,ok,2026-04-02T09:37:56.990575+00:00,11:37:53,4.24395458984375,2.526057861328125,0.7487919921875,"[4.24395458984375,2.526057861328125,0.7487919921875]",null,
EXP007,12,12,ok,ok,2026-04-02T09:38:30.097518+00:00,11:38:26,4.241564453125,2.644703369140625,0.7488697509765625,"[4.241564453125,2.644703369140625,0.7488697509765625]",null,
