experiment_id,cycle_id,meas_id,move_status,position_status,captured_at_utc,position_t,x,y,z,position,rotation_matrix_json,error
EXP003,1,1,ok,ok,2026-04-01T08:30:03.082573+00:00,10:29:59,1.9183037109375,2.865016845703125,0.7394267578125,"[1.9183037109375,2.865016845703125,0.7394267578125]",null,
EXP003,2,2,ok,ok,2026-04-01T08:30:42.963643+00:00,10:30:39,2.541445556640625,2.253701416015625,0.7400592651367187,"[2.541445556640625,2.253701416015625,0.7400592651367187]",null,
EXP003,3,3,ok,ok,2026-04-01T08:31:15.979272+00:00,10:31:12,2.535861083984375,2.3752490234375,0.7400802612304688,"[2.535861083984375,2.3752490234375,0.7400802612304688]",null,
EXP003,4,4,ok,ok,2026-04-01T08:31:48.980733+00:00,10:31:45,2.535490234375,2.495153076171875,0.74045849609375,"[2.535490234375,2.495153076171875,0.74045849609375]",null,
EXP003,5,5,ok,ok,2026-04-01T08:32:22.093277+00:00,10:32:19,2.535433349609375,2.614716552734375,0.7408038330078125,"[2.535433349609375,2.614716552734375,0.7408038330078125]",null,
EXP003,6,6,ok,ok,2026-04-01T08:32:54.981718+00:00,10:32:51,2.5349892578125,2.73427001953125,0.7408751831054687,"[2.5349892578125,2.73427001953125,0.7408751831054687]",null,
EXP003,7,7,ok,ok,2026-04-01T08:33:27.983766+00:00,10:33:24,2.53407666015625,2.85399072265625,0.74136767578125,"[2.53407666015625,2.85399072265625,0.74136767578125]",null,
EXP003,8,8,ok,ok,2026-04-01T08:34:00.979796+00:00,10:33:57,2.533647216796875,2.973749755859375,0.7417273559570312,"[2.533647216796875,2.973749755859375,0.7417273559570312]",null,
EXP003,9,9,ok,ok,2026-04-01T08:34:33.978052+00:00,10:34:30,2.53377734375,3.093795166015625,0.7421692504882812,"[2.53377734375,3.093795166015625,0.7421692504882812]",null,
EXP003,10,10,ok,ok,2026-04-01T08:35:06.980010+00:00,10:35:03,2.533575439453125,3.21349072265625,0.7428092041015625,"[2.533575439453125,3.21349072265625,0.7428092041015625]",null,
EXP003,11,11,ok,ok,2026-04-01T08:35:39.982330+00:00,10:35:36,2.53495654296875,3.333267333984375,0.7434109497070313,"[2.53495654296875,3.333267333984375,0.7434109497070313]",null,
EXP003,12,12,ok,ok,2026-04-01T08:36:12.982630+00:00,10:36:09,2.535388427734375,3.4527255859375,0.7442673950195312,"[2.535388427734375,3.4527255859375,0.7442673950195312]",null,
EXP003,13,13,ok,ok,2026-04-01T08:36:44.950371+00:00,10:36:41,2.53525439453125,3.482926513671875,0.744296875,"[2.53525439453125,3.482926513671875,0.744296875]",null,
EXP003,14,14,ok,ok,2026-04-01T08:37:18.040082+00:00,10:37:14,2.411144287109375,3.48238916015625,0.7438160400390625,"[2.411144287109375,3.48238916015625,0.7438160400390625]",null,
EXP003,15,15,ok,ok,2026-04-01T08:37:49.948073+00:00,10:37:46,2.415884033203125,3.45272607421875,0.7437929077148437,"[2.415884033203125,3.45272607421875,0.7437929077148437]",null,
EXP003,16,16,ok,ok,2026-04-01T08:38:23.082383+00:00,10:38:19,2.415626953125,3.332536865234375,0.7431738891601563,"[2.415626953125,3.332536865234375,0.7431738891601563]",null,
EXP003,17,17,ok,ok,2026-04-01T08:38:55.984594+00:00,10:38:52,2.4152177734375,3.21261962890625,0.7426099853515625,"[2.4152177734375,3.21261962890625,0.7426099853515625]",null,
EXP003,18,18,ok,ok,2026-04-01T08:39:28.982678+00:00,10:39:25,2.414739013671875,3.0929111328125,0.7420153198242188,"[2.414739013671875,3.0929111328125,0.7420153198242188]",null,
EXP003,19,19,ok,ok,2026-04-01T08:40:02.083161+00:00,10:39:58,2.41376220703125,2.97306640625,0.7414899291992187,"[2.41376220703125,2.97306640625,0.7414899291992187]",null,
EXP003,20,20,ok,ok,2026-04-01T08:40:35.080969+00:00,10:40:31,2.413351806640625,2.853184814453125,0.7408732299804688,"[2.413351806640625,2.853184814453125,0.7408732299804688]",null,
